"675993589843914754";"Xbox FR";"Oh oh oh quel joli pack de jeux Bernard box  RT et tweet NoelXbox et Bernard pour tenter de la gagner";"Sun Dec 13 12:00:05 CET 2015";"4"
"675677958900723712";"#ClipeCabelo";"RT esse Tweet para um follow ClipeCabelo";"Sat Dec 12 15:05:53 CET 2015";"4"
"675789098502774784";"Chris Marques";"Pris en flagrant d√©lit de tweet durant la pr√©c√©dente pause  Quelle a √©t√© votre presta pr√©f√©r√©e dals DALS FXX";"Sat Dec 12 22:27:31 CET 2015";"4"
"676347421002174464";"Ange Oderic #Cpmp";"ledebalousseur NoaBalou moi non plus mdr j nvisage m√™me de supprimer mon tweet pour √©viter tout amalgame";"Mon Dec 14 11:26:05 CET 2015";"4"
"676347419932680192";"#Confident";"j i tous ltemps les larmes aux yeux quand jvois un tweet sur les boys ou des photos id√©os du coup";"Mon Dec 14 11:26:05 CET 2015";"4"
"676347395974815744";"botup";"RT CE TWEET  FOLLOW NOUS ET reignscenes POUR TENTER DE GAGNER UN DM SOLO AVEC DYLAN SPRAYBERRY  irage √† XXhXX";"Mon Dec 14 11:25:59 CET 2015";"4"
"676347388504707073";"Kieran Harris";"Since Pique  tweet";"Mon Dec 14 11:25:58 CET 2015";"4"
"676347365482196992";"Goulven CHAMPENOIS";"Des fois on fav un tweet parce qu n n  pas de r√©partie Imagine la m√™me chose IRL  tu sais plus quoi dire alors tu fai‚Ä¶";"Mon Dec 14 11:25:52 CET 2015";"4"
"676347330073874432";"Dominique-Adl";"domino X    RAPPEL  RAPPEL    OIR LA COMMUNICATION ANNEX√âE   TWEET PR√âC√âDENT)";"Mon Dec 14 11:25:44 CET 2015";"4"
"676347305432248320";"Litts Twitt√©raires";"Le tweet La B  Une contrainte Peut tre est e la forme d criture la plus concise qui puisse exister";"Mon Dec 14 11:25:38 CET 2015";"4"
"676347301384822784";"Kouadio Adjo Cather";"aidez oi √† conna√Ætre le sens de Tweet";"Mon Dec 14 11:25:37 CET 2015";"4"
"676347296133566464";"_liiiya";"Quand la meuf que tu veux g√©rer tweet  je suis c√©libataire";"Mon Dec 14 11:25:35 CET 2015";"4"
"676347290353803264";"De sousa Pauline";"Si EnjoyPhoenix gagne Danse avec les stars j ffre un kebab  la boisson de son choix √† tous les gens qui RT ce tweet DALS";"Mon Dec 14 11:25:34 CET 2015";"4"
"676347279742251008";"nah";"Since Pique  tweet";"Mon Dec 14 11:25:32 CET 2015";"4"
"676347256698744832";"DimZ";"MONEY GIVEAWAY  RT Follow ChelxieLive  Tweet ViveNo√´l pour partager notre joie pour les f√™tes DDD";"Mon Dec 14 11:25:26 CET 2015";"4"
"676347244774338560";"Fod√© S. Kouyat√©";"J i  signal√© √† un journaliste d n faire un live tweet en utilisant GuineeVote Mais j ttends la suite Pas s√ªr";"Mon Dec 14 11:25:23 CET 2015";"4"
"676347240173170688";"Lala Lala";"Ô∏èCONCOUR XX FOLLOW RT CE TWEET POUR GAGNER UN HOVERBOARD DE TON CHOIX OUS D√âSIGNERONS LES XX GAGNANTS √Ä XX XK";"Mon Dec 14 11:25:22 CET 2015";"4"
"676347238759718912";"‚öΩÔ∏è";"Since Pique  tweet";"Mon Dec 14 11:25:22 CET 2015";"4"
"676347235421044736";"Ana.B";"Ô∏èCONCOUR XX FOLLOW RT CE TWEET POUR GAGNER UN HOVERBOARD DE TON CHOIX OUS D√âSIGNERONS LES XX GAGNANTS √Ä XX XK";"Mon Dec 14 11:25:21 CET 2015";"4"
"676347196728569856";"Peter4G";"Gagne ta rencontre priv√©e avec la troupe de resisteOFF √† Caen le XX X our cela RT  e tweet  FOLLOW Tirage au sor‚Ä¶";"Mon Dec 14 11:25:12 CET 2015";"4"
"676347193700282368";"Tamara Tester";"mararturXX test tweet XXabXX X X";"Mon Dec 14 11:25:11 CET 2015";"4"
"676347170749063168";"D Lad";"Since Pique  tweet";"Mon Dec 14 11:25:06 CET 2015";"4"
"676347143372828672";"NextPharm";"Voici la liste des tablettes en promotions en cette fin d nn√©e XX";"Mon Dec 14 11:24:59 CET 2015";"4"
"676347123282149376";"Cl√©ment Lanot";"bouyguestelecom Merci vous aussi  Mais si vous pouviez me r√©pondre √† mes nouveaux tweet ce serait tr√®s sympathique :)";"Mon Dec 14 11:24:54 CET 2015";"4"
"676347092441415681";"Micka‚úå";"Quand ton tweet a que XX seul rt :";"Mon Dec 14 11:24:47 CET 2015";"4"
"676347078407290881";"06*11*15‚ù§Ô∏è";"Ô∏èCONCOUR XX FOLLOW RT CE TWEET POUR GAGNER UN HOVERBOARD DE TON CHOIX OUS D√âSIGNERONS LES XX GAGNANTS √Ä XX XK";"Mon Dec 14 11:24:44 CET 2015";"4"
"676347062011736064";"‚ù§elodie‚ù§";"Exclu Jonathan  SXX  D√©couvrez le R√©sum√© de son live tweet avec NanaLDP";"Mon Dec 14 11:24:40 CET 2015";"4"
"676347040985718784";"demat";"bethancourtjesXX mdrr merde jme suis tromp√©e de tweet";"Mon Dec 14 11:24:35 CET 2015";"4"
"676347036011249664";"Politique Actu";"POLITIQUE R√©sultats r√©gionales  le tweet fail de Nicolas Sarkozy qui f√©licite le mauvais Di";"Mon Dec 14 11:24:33 CET 2015";"4"
"676347033834401792";"Bienen SO";"Test Tweet";"Mon Dec 14 11:24:33 CET 2015";"4"
676123055337381891;-Boulet-;La France fiËre d voir Wauquiez  Estrosi de justesse au lieu de Lepen n dirait moi ‡ XX ans quand j rrivais ‡ dÈpasser XX X en sport.;Sun Dec 13 20:34:32 CET 2015;4
676130959205470208;David Sassoli;Madame LePen  je suis dÈsolÈ pour vous mais la France n st pas un pays fasciste;Sun Dec 13 21:05:57 CET 2015;4
